,,timestamp,source,target
20,82,1,N20,N82
28,40,1,N28,N40
3,21,1,N3,N21
61,21,1,N61,N21
25,31,1,N25,N31
27,50,1,N27,N50
5,73,1,N5,N73
90,49,1,N90,N49
34,32,1,N34,N32
47,66,1,N47,N66
5,71,1,N5,N71
35,51,1,N35,N51
14,42,1,N14,N42
17,97,1,N17,N97
87,23,1,N87,N23
25,47,1,N25,N47
3,25,1,N3,N25
3,21,1,N3,N21
42,64,1,N42,N64
12,17,1,N12,N17
27,76,1,N27,N76
99,53,2,N99,N53
93,95,2,N93,N95
63,72,2,N63,N72
93,66,2,N93,N66
62,93,2,N62,N93
93,62,2,N93,N62
19,37,2,N19,N37
12,2,2,N12,N2
80,79,2,N80,N79
92,84,2,N92,N84
6,82,2,N6,N82
79,7,2,N79,N7
40,35,2,N40,N35
13,80,2,N13,N80
24,12,2,N24,N12
3,6,2,N3,N6
48,6,2,N48,N6
57,27,2,N57,N27
3,4,2,N3,N4
88,74,2,N88,N74
84,10,2,N84,N10
26,47,2,N26,N47
6,100,2,N6,N100
25,9,2,N25,N9
65,48,3,N65,N48
26,80,3,N26,N80
14,92,3,N14,N92
22,87,3,N22,N87
91,16,3,N91,N16
96,4,3,N96,N4
55,89,3,N55,N89
21,64,3,N21,N64
42,26,3,N42,N26
30,46,3,N30,N46
23,66,3,N23,N66
99,47,3,N99,N47
84,4,3,N84,N4
39,32,3,N39,N32
90,82,3,N90,N82
55,57,3,N55,N57
85,25,3,N85,N25
14,28,3,N14,N28
47,19,3,N47,N19
18,2,3,N18,N2
87,1,3,N87,N1
69,21,3,N69,N21
67,9,3,N67,N9
20,57,3,N20,N57
87,21,3,N87,N21
81,88,3,N81,N88
41,22,3,N41,N22
13,35,3,N13,N35
83,44,3,N83,N44
34,96,3,N34,N96
66,54,3,N66,N54
28,1,4,N28,N1
36,62,4,N36,N62
42,11,4,N42,N11
38,19,4,N38,N19
59,94,4,N59,N94
94,59,4,N94,N59
1,93,4,N1,N93
89,31,4,N89,N31
5,88,4,N5,N88
42,2,4,N42,N2
32,41,4,N32,N41
77,72,4,N77,N72
59,96,4,N59,N96
28,71,4,N28,N71
94,2,4,N94,N2
94,67,4,N94,N67
65,63,4,N65,N63
79,93,4,N79,N93
40,76,4,N40,N76
40,16,4,N40,N16
78,94,4,N78,N94
56,54,4,N56,N54
45,80,4,N45,N80
95,6,4,N95,N6
69,57,4,N69,N57
58,17,5,N58,N17
33,12,5,N33,N12
49,65,5,N49,N65
63,23,5,N63,N23
23,63,5,N23,N63
100,78,5,N100,N78
36,18,5,N36,N18
93,1,5,N93,N1
51,12,5,N51,N12
52,22,5,N52,N22
60,70,5,N60,N70
70,60,5,N70,N60
42,67,5,N42,N67
32,39,5,N32,N39
54,73,5,N54,N73
52,9,5,N52,N9
58,3,5,N58,N3
43,49,5,N43,N49
45,34,5,N45,N34
34,68,5,N34,N68
36,37,5,N36,N37
2,91,5,N2,N91
24,90,5,N24,N90
48,58,5,N48,N58
61,76,5,N61,N76
19,20,5,N19,N20
54,87,5,N54,N87
53,93,5,N53,N93
93,53,5,N93,N53
97,9,5,N97,N9
12,50,5,N12,N50
64,2,5,N64,N2
20,57,5,N20,N57
94,59,5,N94,N59
63,54,5,N63,N54
49,15,5,N49,N15
59,39,5,N59,N39
1,28,6,N1,N28
80,60,6,N80,N60
13,66,6,N13,N66
97,17,6,N97,N17
69,19,6,N69,N19
65,5,6,N65,N5
5,28,6,N5,N28
27,97,6,N27,N97
96,87,6,N96,N87
46,2,6,N46,N2
2,46,6,N2,N46
50,22,6,N50,N22
11,86,6,N11,N86
9,66,6,N9,N66
56,46,6,N56,N46
57,80,6,N57,N80
72,77,6,N72,N77
62,2,6,N62,N2
47,11,6,N47,N11
47,88,6,N47,N88
95,36,6,N95,N36
23,20,6,N23,N20
21,63,6,N21,N63
12,24,6,N12,N24
16,40,6,N16,N40
38,59,6,N38,N59
66,1,6,N66,N1
89,8,6,N89,N8
47,81,6,N47,N81
89,76,6,N89,N76
100,96,6,N100,N96
47,26,6,N47,N26
36,3,6,N36,N3
18,63,7,N18,N63
19,69,7,N19,N69
77,40,7,N77,N40
69,82,7,N69,N82
69,47,7,N69,N47
71,16,7,N71,N16
69,92,7,N69,N92
45,73,7,N45,N73
37,67,7,N37,N67
67,37,7,N67,N37
72,31,7,N72,N31
97,27,7,N97,N27
77,52,7,N77,N52
84,65,7,N84,N65
57,36,7,N57,N36
29,90,7,N29,N90
21,81,7,N21,N81
100,7,7,N100,N7
82,6,7,N82,N6
42,78,7,N42,N78
23,90,7,N23,N90
44,92,7,N44,N92
95,74,7,N95,N74
93,79,7,N93,N79
11,99,7,N11,N99
50,49,7,N50,N49
17,66,7,N17,N66
11,2,7,N11,N2
9,12,7,N9,N12
46,35,7,N46,N35
73,71,8,N73,N71
22,74,8,N22,N74
17,97,8,N17,N97
64,79,8,N64,N79
11,38,8,N11,N38
17,73,8,N17,N73
2,12,8,N2,N12
20,7,8,N20,N7
50,31,8,N50,N31
67,42,8,N67,N42
93,66,8,N93,N66
66,93,8,N66,N93
24,31,8,N24,N31
36,57,8,N36,N57
94,27,8,N94,N27
98,82,8,N98,N82
81,21,8,N81,N21
61,44,8,N61,N44
36,4,8,N36,N4
50,4,8,N50,N4
89,100,8,N89,N100
10,7,8,N10,N7
48,62,8,N48,N62
38,71,8,N38,N71
52,1,8,N52,N1
1,52,8,N1,N52
41,60,8,N41,N60
72,98,8,N72,N98
88,81,8,N88,N81
49,66,8,N49,N66
78,96,8,N78,N96
14,6,8,N14,N6
64,24,8,N64,N24
54,63,8,N54,N63
25,87,8,N25,N87
63,20,9,N63,N20
57,41,9,N57,N41
25,95,9,N25,N95
80,26,9,N80,N26
31,72,9,N31,N72
91,72,9,N91,N72
15,16,9,N15,N16
94,98,9,N94,N98
67,42,9,N67,N42
90,29,9,N90,N29
73,54,9,N73,N54
90,51,9,N90,N51
40,89,9,N40,N89
89,53,9,N89,N53
19,96,9,N19,N96
4,36,9,N4,N36
8,67,9,N8,N67
57,1,9,N57,N1
56,35,9,N56,N35
35,56,9,N35,N56
91,77,9,N91,N77
4,3,9,N4,N3
94,72,9,N94,N72
99,98,9,N99,N98
2,11,9,N2,N11
75,9,9,N75,N9
68,13,10,N68,N13
58,72,10,N58,N72
17,11,10,N17,N11
50,84,10,N50,N84
45,92,10,N45,N92
15,57,10,N15,N57
45,58,10,N45,N58
96,46,10,N96,N46
46,96,10,N46,N96
45,61,10,N45,N61
61,45,10,N61,N45
14,25,10,N14,N25
31,89,10,N31,N89
4,84,10,N4,N84
70,8,10,N70,N8
17,77,10,N17,N77
83,53,10,N83,N53
64,13,10,N64,N13
20,67,10,N20,N67
49,90,10,N49,N90
66,5,10,N66,N5
83,38,10,N83,N38
38,83,10,N38,N83
46,48,10,N46,N48
56,34,10,N56,N34
64,46,10,N64,N46
9,67,10,N9,N67
90,52,10,N90,N52
52,90,10,N52,N90
7,10,10,N7,N10
72,91,10,N72,N91
20,98,10,N20,N98
74,52,10,N74,N52
39,79,10,N39,N79
21,83,10,N21,N83
77,91,10,N77,N91
64,4,10,N64,N4
32,87,10,N32,N87
41,24,10,N41,N24
76,27,10,N76,N27
91,9,11,N91,N9
90,97,11,N90,N97
79,64,11,N79,N64
40,77,11,N40,N77
49,38,11,N49,N38
5,65,11,N5,N65
26,42,11,N26,N42
16,15,11,N16,N15
22,52,11,N22,N52
53,83,11,N53,N83
89,40,11,N89,N40
70,29,11,N70,N29
53,89,11,N53,N89
32,60,11,N32,N60
50,75,11,N50,N75
19,82,11,N19,N82
2,86,11,N2,N86
86,35,11,N86,N35
92,10,11,N92,N10
29,30,11,N29,N30
66,97,11,N66,N97
82,29,11,N82,N29
57,77,11,N57,N77
60,64,11,N60,N64
100,66,11,N100,N66
74,81,11,N74,N81
58,48,12,N58,N48
91,92,12,N91,N92
82,22,12,N82,N22
39,63,12,N39,N63
59,19,12,N59,N19
26,76,12,N26,N76
66,23,12,N66,N23
26,32,12,N26,N32
61,8,12,N61,N8
8,61,12,N8,N61
89,27,12,N89,N27
95,74,12,N95,N74
5,66,12,N5,N66
28,1,12,N28,N1
2,25,12,N2,N25
80,57,12,N80,N57
90,24,12,N90,N24
